hash,filename,object,score,decision
77a81e06fbe56bffcfd0fd569ab3b82bd876679fa7e8a6c69153a5db90c4a5607015c70dcb4f46b55462367b37920fad6f8da5b95403247e3971e2118d50a38a,setup.py,getToken,1.0,suspicious
4888fabad63e488df85117792b8520932efdb4fb52557c7783dfbc81b9018f3c3c302779d8b1d85ada59b2abc7cef6467e131b775d887d3564820a0a28e9e1c0,setup.py,getPassw,1.0,suspicious
aa3ab85f31139f1c243cf2785811a03d566f6831302a20820f1ad52b7b8970f93a105e90c3ca7295b78872df9fa12ccaeceb578fd1cce13ae8fe91f682161455,setup.py,getCookie,1.0,suspicious
788252876b2d807274534870e735c5bfee92ca717c9024080144310399f03e29223c581b47fcae311eedfa03fe3abf825e96b9c481f153ca565a7d2432ac6742,setup.py,GetDiscord,1.0,suspicious
cce3be5d5376926186d8570f492ada0f72ea0a5a104f618b25574a0c025a5c3c241fbebdf4bca8986a5daf24bf2cf4164d0755f19cd6265ba9ce3d45a176680b,setup.py,ZipThings,1.0,suspicious
8d5ec61fa6e386f30c7970c7215b6c5d2278d31264ede7a8d996c9b8c69378bd96099966a3db93bbbf2de02948adcd79e6481e3529277cdb937050594ce27ecf,setup.py,GatherAll,1.0,suspicious
dc2733807db5638c801c255ab893930a527686cb86264dea9df053f398d0ddd1864c895a1fa04d5f2df0f4684a418e9eaf03538254fb9a7959e960bb7c8777e1,setup.py,uploadToAnonfiles,0.999,suspicious
b1806d370923703f61c3f219ede72e725dec2e998c1eb3b1b226579db03a16b90ee025852f47590cd7f74a5a60acf1c5d899f36901e95e0705fa16671bd53c98,setup.py,KiwiFolder,1.0,suspicious
1c15e4346203c7d7d714821c7e9e2dead7f152ef119b983be33d656d56d6e54fb8ad670ae876944ff8aae4ca0bad0fe516abaa5c1d59edc966799c6920f86433,setup.py,KiwiFile,1.0,suspicious
87478c231258f4bbb4e86f0d77cd1b4b9570b25f6ab419c4140ea819dcb169eba4614a70e9fd78ab3a658a4c041d963e06f08d7b8812ddb25f6c304760ec95a4,script.py,<module>,0.996,benign
59b613ab5ed593816f5ec47061e328f4fe83fc64f1593ccd4dfe1ee1e302c2abcf4aeecf362df8c17fe624e36a9a48014037cec6cf3d6cdb99405611201f832c,script.py,main,0.999,suspicious
e9e832c579b1f482071193fbfef22637c0d8e5d10ff2ad7a5f221b531fa4d01e64286f35d1559f7cc698d859fdbb8a3e248466f30f697c71f3d3118e833e7f81,setup.py,<module>,1.0,suspicious
7f31c5d6017ea8379606e183201cc8b37dca36ae0fff127ef19ca058431c8e9fe8a9f9258147c2b8101a349698848709053c60ae21884d20520b22f93efff7b8,setup.py,Updater,0.999,suspicious
a716fc676b2ecef695cb397b194991054d0701966d4366f48d998f143764a88759034c38240763609a92b87aa0613ad571ae54808fc57542be2f73e6e636e33d,setup.py,<module>,1.0,suspicious
5692fa3ac23920b0da929bc40ca9e60f715a34aa40fd2873d686a3e1bc26072d50301af5a208c9b3f9d71b269aa624521181689fbb88c9ae5c59e9e012f34c79,setup.py,<module>,1.0,suspicious
52f9473caacae41c8cbfbe0752efffadaaa1fb782277d0e43ffa67710c641d5c130329916b159573b972dcc687edbfda1eefc0674722ed1f830ba5365e7cc7c4,setup.py,<module>,1.0,suspicious
5f261f6a6e96d3da8c0722a8181c8530872736b10e18cd4bedc19046e4f10f77c229aeced9a252e53a237302b5d55b4ef4a49c12f782bef17da27e183fc819ae,setup.py,<module>,1.0,suspicious
5be47b831f4bd1e2082dd0e11212fb097b85d719af7a87b34709ca7a436ead3156d9d77ebc9e5e0b0666994531e993348947b04b0e37be471a1449ed5e7f0d62,setup.py,<module>,1.0,suspicious
4c0c6117fed8140ba5533c8d89dd765d1d582e6318e1f6606542dac1da53afdae4be2419f667c171a78f9d4c1fcafd965b12dd2359fb161366e4e07cdaea491b,setup.py,CustomInstall,1.0,suspicious
80b191e4b0ceae232d75053014de10ed513570d8db80edb5a512e9829087e257ea614e8dc1d854cd95454c1cbadadfa1c4171fcf0546396cba04fa4a2f9f03cd,setup.py,<module>,1.0,suspicious
cdad3566f69dd3a2fa63149abaf9c5b8508c4253c5a960c62e5c110b718784be4d7e0a90fbaf9146c012713fdcd593cab5eb86d29b3d233a5ccbbf4421feefa3,setup.py,<module>,1.0,suspicious
4454bb4a7f5e3a2581fa46ed9ffef824445c316bd294a345b8b068df57af3f06450312c75a4be8984e845363a506d3d6808a64b2232665608afd266832d9e8bc,setup.py,<module>,1.0,suspicious
4be05c26565f260cb60a5b441ef36443a468ca389d987af260357134830632ef5fe9115de1d358e822397b67ad5482dfcea6c7769cc3acb16321e705d8d26a59,setup.py,GruppeInstall,1.0,suspicious
8d40a16f64e9030fd58aec69ef6dc15d70a3afa5ea329e0b784e09e57985b957dcdcd05f2a70cdcea1bc0e2a1049628040959f1bb13ad274fc584fbb30acb38b,__init__.py,<module>,0.814,suspicious
bcce84c75b7c92f19636ccbe17669facd4d2cc84c5baac00ff11697ac41784b86b3d915ec9f834006b90e53f6bbb9707ec44bb81c7af6c846886bc931116a6fc,setup.py,GetUHQFriends,1.0,suspicious
2699adb3ac1093da7962b4adcea828cf5d2fd5c9e8bfb9ec31faef2268b0eedee435ee27fe6e49bb08328c650e9f61ea1aa34344bf4bb26948062538ee94a502,setup.py,GruppeInstall,1.0,suspicious
ab8cdf57cbf4c84be6664b5c0ce0e875740f7cc89057dc8d005bc0ec8695345300ca4b96537bcbc7e6a46a3679caebf0e469ed3bd9a4aadbe48f77afb48e64dd,setup.py,<module>,1.0,suspicious
35c9d1e0ff03419422b3070ab68118141e4ac581e78a68a64ffe39317784ac3e2e971fefd601b5bbd162975d841d8c66e33854a2248cd0f74345aa49edf4a373,setup.py,<module>,1.0,suspicious
eed2c08a5562ded803ede4ff24ec2a36e8f144ab36cfa55e71ad44cd666d928b059630f0df2cb69571db98592a3ae2d1895735ce8d3c020cb582c79b23eae342,setup.py,<module>,1.0,suspicious
